package_id,loan_package,document_type,field_name,model_prediction,corrected_value,decision,reason_code,comment,reviewer,timestamp,model_version,run_id,source_tab,idempotency_key
8fd613d2,8fd613d2,bank_statement,signature,,,deny,insufficient_evidence,,Alice Smith,2026-03-15T04:10:56.208402+00:00,v0.10.0,8fd613d2_2026-03-14T23:09:54.558583,human_feedback,884d6aa9d8bfc796c318ed5fc2a12d73485b608c1c86c761d44631b98496f5c7
8fd613d2,8fd613d2,bank_statement,statement_date,03/14/2022,03/14/2022,approve,verified,,Alice Smith,2026-03-15T04:11:17.091170+00:00,v0.10.0,8fd613d2_2026-03-14T23:09:54.558583,human_feedback,6731f73cd03a2e9532bdd166e95715b3b16d269f3044d5c6c13d8330357b6e35
fee11166,fee11166,bank_statement,balance,-1000,-1000,deny,insufficient_evidence,,Alice Smith,2026-03-15T04:16:16.697916+00:00,v0.10.0,fee11166_2026-03-14T23:15:37.862858,human_feedback,1a1b12e1ccfa09b7840d82ea256391abd4a1704f771766a81dd5950822b7fae0
3347340f,3347340f,bank_statement,balance,-1000,-1000,deny,insufficient_evidence,,Alice Smith,2026-03-15T04:18:16.615799+00:00,v0.10.0,3347340f_2026-03-14T23:17:58.459826,human_feedback,e3ead959aad7c71d897aa3af1c1f15c663008fe7fa080fe9daec2eb609d2c501
a69d3c50,a69d3c50,bank_statement,balance,-1000,-1000,deny,insufficient_evidence,,Alice Smith,2026-03-15T04:21:15.667297+00:00,v0.10.0,a69d3c50_2026-03-14T23:19:57.038277,human_feedback,65268d81631a6e3da203c4f74a91c671c6fe0d515f9eddd58eb36b745baf4a18
4ce5d167,4ce5d167,bank_statement,balance,-1000,-1000,deny,insufficient_evidence,,Alice Smith,2026-03-15T04:22:28.276105+00:00,v0.10.0,4ce5d167_2026-03-14T23:22:09.269852,human_feedback,68fd1a18b53c190fbc8498716efea31c0fc92762774fdeaa64561bde8f36430b
33a06043,33a06043,bank_statement,balance,-1000,-1000,deny,insufficient_evidence,,Chris Obermeier,2026-03-15T04:23:21.538416+00:00,v0.10.0,33a06043_2026-03-14T23:22:55.100636,human_feedback,b88a857614d4e43cdda0fa7555f222ad0f9cdb7035b01d039c0728e2e2c7685e
5b2b1cd6,5b2b1cd6,bank_statement,balance,-1000,-1000,unverifiable,insufficient_evidence,,Alice Smith,2026-03-15T04:33:25.126493+00:00,v0.10.0,5b2b1cd6_2026-03-14T23:30:37.533982,human_feedback,c68605e05a26835733504a39f298d1dbcd7f003422c31d13d2bfe49bb9d38f88
34f6d91a,34f6d91a,bank_statement,balance,-1000,-1000,matches_document,verified,,Alice Smith,2026-03-15T04:55:04.434167+00:00,v0.10.0,34f6d91a_2026-03-14T23:54:47.455834,human_feedback,6aa002cf11ad8069459241cf1ce69fe4115fcbba640409849e65337defa4d616
19af31ca,19af31ca,bank_statement,balance,-1000,,deny,escalation_denied,,Alice Smith,2026-03-14T23:59:22.122189,v0.10.0,19af31ca_2026-03-14T23:59:22.122189,escalation_review,61753c5cafef267df8dcc54cbf774be9f490d66b583bd69be651e65edf2efda2
19af31ca,19af31ca,bank_statement,balance,-1000,-1000,matches_document,verified,,Alice Smith,2026-03-15T04:59:41.655653+00:00,v0.10.0,19af31ca_2026-03-14T23:59:22.122189,human_feedback,3d92a3084d21a6a158fedf4f48da6d6b1b8a1107befee6d47293faf43ec2b679
ca246760,ca246760,bank_statement,balance,-1000,,deny,escalation_denied,,Alice Smith,2026-03-15T00:05:54.049464,v0.10.0,ca246760_2026-03-15T00:05:54.049464,escalation_review,1904b992c32fbb930d750bc5ca4002bf02a4138d5707771600b8fa9d0669bc6e
ca246760,ca246760,bank_statement,balance,-1000,-1000,matches_document,verified,,Alice Smith,2026-03-15T05:06:16.780115+00:00,v0.10.0,ca246760_2026-03-15T00:05:54.049464,human_feedback,e80b591b507f427de84e82049e0f45575f37ef5371c5c3631d0aab2b9cb4c1c0
46d678e5,46d678e5,bank_statement,balance,-1000,,deny,escalation_denied,,Alice Smith,2026-03-15T00:10:00.739797,v0.10.0,46d678e5_2026-03-15T00:10:00.739797,escalation_review,eac1e880d30301e8d7d09702175c5e5547701812288ccddae11a07c447e2ab9b
46d678e5,46d678e5,bank_statement,balance,-1000,-1000,matches_document,verified,,Alice Smith,2026-03-15T05:10:47.449023+00:00,v0.10.0,46d678e5_2026-03-15T00:10:00.739797,human_feedback,1645d6623bab58a1900f4b2073718843a8decf14881d0f8e62500c61e8ce2b6f
3ee3fe4b,3ee3fe4b,bank_statement,balance,-1000,,deny,escalation_denied,,Alice Smith,2026-03-15T00:29:54.931977,v0.10.0,3ee3fe4b_2026-03-15T00:29:54.931977,escalation_review,6f675a1df4d0fbd4624200f605d38d3b3f2e8cbb0b030b240338c7c93e63c774
3ee3fe4b,3ee3fe4b,bank_statement,balance,-1000,-1000,matches_document,verified,,Alice Smith,2026-03-15T05:30:13.242114+00:00,v0.10.0,3ee3fe4b_2026-03-15T00:29:54.931977,human_feedback,fb4d55e7ec3a669d00a6b48c74908fcbfa9eca984ba127e4cbef35859e1ce178
